# J 1 P 1 T 1NORM2(ve)  8.05526856 8.05526
# J 1 P-1 T 1NORM2(ve)  3.74158911 3.74158
 J 3 P 1 T 1NORM2(ve)  2.87243315 2.84568!
# J 3 P-1 T 1NORM2(ve)  3.77725860 3.77725
# J 5 P 1 T 1NORM2(ve)  2.46695453 2.46695
# J 5 P-1 T 1NORM2(ve)  2.18971638 2.18971
# J 7 P 1 T 1NORM2(ve)  1.52838722 1.52838
# J 7 P-1 T 1NORM2(ve)  1.08656234 1.08656
# J 9 P 1 T 1NORM2(ve)  1.09686297 1.09686
# J 9 P-1 T 1NORM2(ve)  0.73281598 0.73281
 J 1 P 1 T 3NORM2(ve)  3.92433808 3.63682!
# J 1 P-1 T 3NORM2(ve)  1.72938762 1.72939
# J 3 P 1 T 3NORM2(ve)  1.13087437 1.13087
# J 3 P-1 T 3NORM2(ve)  1.73822894 1.73823
# J 5 P 1 T 3NORM2(ve)  1.01854566 1.01855
 J 5 P-1 T 3NORM2(ve)  0.96365137 0.92946!
 J 7 P 1 T 3NORM2(ve)  0.57120405 0.56321!
# J 7 P-1 T 3NORM2(ve)  0.43335354 0.43335
# J 9 P 1 T 3NORM2(ve)  0.42599615 0.42600
# J 9 P-1 T 3NORM2(ve)  0.26738644 0.26739

#問題1: difference in some channels
#問題2: norm(ve)
